leak_size,leak_location,length,pressure,flow_rate
8,896,1232,172374.5828,3881.48
10,896,0,173076.7205,4219
10,896,616,172706.3662,4219
10,896,1232,172374.394,3797.1
15,896,0,173058.5907,4219
15,896,616,172688.2364,4219
15,896,1232,172373.9403,3586.15
18,896,0,173048.2101,4219
18,896,616,172677.8558,4219
18,896,1232,172373.6804,3459.58
20,896,0,173041.4969,4219
20,896,616,172671.1426,4219
20,896,1232,172373.5124,3375.2
25,896,0,173025.4391,4219
25,896,616,172655.0848,4219
25,896,1232,172373.1105,3164.25
28,896,0,173016.3017,4219
28,896,616,172645.9474,4219
28,896,1232,172372.8818,3037.68
30,896,0,173010.4173,4219
30,896,616,172640.063,4219
30,896,1232,172372.7345,2953.3
1,951,0,173112.6228,4219
1,951,616,172742.2685,4219
1,951,1232,172375.2762,4176.81
2,951,0,173109.1924,4219
2,951,616,172738.8381,4219
2,951,1232,172375.174,4134.62
5,951,0,173099.1103,4219
5,951,616,172728.756,4219
5,951,1232,172374.8737,4008.05
8,951,0,173089.3416,4219
8,951,616,172718.9873,4219
8,951,1232,172374.5828,3881.48
10,951,0,173083.0033,4219
10,951,616,172712.649,4219
10,951,1232,172374.394,3797.1
15,951,0,173067.7669,4219
15,951,616,172697.4126,4219
15,951,1232,172373.9403,3586.15
18,951,0,173059.043,4219
18,951,616,172688.6887,4219
18,951,1232,172373.6804,3459.58
20,951,0,173053.4011,4219
20,951,616,172683.0468,4219
20,951,1232,172373.5124,3375.2
25,951,0,173039.9061,4219
25,951,616,172669.5518,4219
25,951,1232,172373.1105,3164.25
28,951,0,173032.2269,4219
28,951,616,172661.8726,4219
28,951,1232,172372.8818,3037.68
30,951,0,173027.2816,4219
30,951,616,172656.9273,4219
30,951,1232,172372.7345,2953.3
1,1000,0,173113.209,4219
1,1000,616,172742.8547,4219
1,1000,1232,172375.2762,4176.81
2,1000,0,173110.359,4219
2,1000,616,172740.0047,4219
2,1000,1232,172375.174,4134.62
5,1000,0,173101.9826,4219
5,1000,616,172731.6283,4219
5,1000,1232,172374.8737,4008.05
8,1000,0,173093.8667,4219
8,1000,616,172723.5124,4219
